Name,Position,College,RAS
Adam Tafralis,QB,San Jose State,6.72
Lamar Raynard,QB,North Carolina A&T,6.52
Jason Fife,QB,Oregon,7.9
Andre Woodson,QB,Michigan State,7.28
Gunner Kiel,QB,Cincinnati,6.37
Kyle Allen,QB,Houston,6.6
Colt McCoy,QB,Texas,7.04
Omar Jacobs,QB,Bowling Green,7.09
Jamie Martin,QB,Weber State,9.27
Chris Leak,QB,Florida,6.73
Austin Appleby,QB,Florida,6.24
James Blackman,QB,Arkansas State,6.43
Cooper Callis,QB,Southwest Baptist,6.42
Dennis Grosel,QB,Boston College,6.41
Brady Davis,QB,Illinois State,6.38
David Klingler,QB,Houston,9.15
Billy Joe Hobert,QB,Washington,8.91
Robert Marve,QB,Purdue,6.29
Aaron Corp,QB,Richmond,6.37
Aaron Rodgers,QB,California,7.16
Ryan Fitzpatrick,QB,Harvard,7.45
Ricky Stanzi,QB,Iowa,6.6
Kevin Kolb,QB,Houston,6.79
Bernard Morris,QB,Marshall,6.8
Brady Gustafson,QB,Montana,6.2
Tony Sacca,QB,Penn State,9.36
Ryan Metz,QB,Texas-El Paso,6.24
Tanner Lee,QB,Nebraska,6.29
N'Kosi Perry,QB,Florida Atlantic,6.24
Danny Brannagan,QB,International,6.25
Garrett Gilbert,QB,Southern Methodist,6.31
Jeff Burger,QB,Auburn,9.2
Stephen Morris,QB,Miami,6.19
Case Keenum,QB,Houston,6.11
Guy Myers,QB,Charleston,6.21
Jay Fiedler,QB,Dartmouth,8.37
Philip Nelson,QB,East Carolina,5.88
Scott Rislov,QB,San Jose State,7.1
Billy Ray,QB,Duke,8.78
Austin Burton,QB,Purdue,6.12
Manny Wilkins,QB,Arizona State,6.25
David Ash,QB,Texas,6.09
Kenny Guiton,QB,Ohio State,6.15
Jared Goff,QB,California,6.09
Cleo Lemon,QB,Arkansas State,7.83
Ryan Glover,QB,Memphis,6.06
Will Collins,QB,Central Oklahoma,6.02
Logan Bonner,QB,Utah State,6.04
Juston Wood,QB,Portland State,7.31
Gus Ragland,QB,Miami OH,6.06
Logan Woodside,QB,Toledo,6.03
Drew Brees,QB,Purdue,7.74
Felix Harper,QB,Alcorn State,6.01
John Wolford,QB,Wake Forest,6.16
Tony Rice,QB,Notre Dame,7.72
Mark Sanchez,QB,Southern California,6.42
Bailey Zappe,QB,Western Kentucky,5.97
